LON,LAT,YEAR,MM,DD,DOY,YYYYMMDD,T2M,T2M_MAX,T2M_MIN,T2M_RANGE,RH2M,PRECTOTCORR,T2MDEW,study
-55.17,-15.55,2012,7,20,202,2012-07-20,19.17,26.44,11.13,15.31,56.41,0,9.98,1
-55.17,-15.55,2012,7,21,203,2012-07-21,21.07,28.87,13.64,15.23,65.08,0,13.79,1
-55.17,-15.55,2012,7,22,204,2012-07-22,23.32,29.88,18.22,11.66,62.25,0,15.39,1
-55.17,-15.55,2012,7,23,205,2012-07-23,22.6,30.33,16.76,13.57,64.31,0,14.95,1
-55.17,-15.55,2012,7,24,206,2012-07-24,22.75,29.95,16.99,12.96,61.03,0.01,14.27,1
-55.17,-15.55,2012,7,25,207,2012-07-25,22.3,29.85,15.52,14.33,59.11,0,13.31,1
-55.17,-15.55,2012,7,26,208,2012-07-26,22.06,29.62,15.28,14.34,52.92,0,11.35,1
-55.17,-15.55,2012,7,27,209,2012-07-27,21.32,30.05,13.91,16.14,55.41,0,11.33,1
-55.17,-15.55,2012,7,28,210,2012-07-28,21.35,29.66,14.4,15.26,53.04,0,10.55,1
-55.17,-15.55,2012,7,29,211,2012-07-29,22.07,30.09,14.29,15.8,50.78,0,10.8,1
-55.17,-15.55,2012,7,30,212,2012-07-30,20.96,29.6,14.27,15.33,54.74,0,10.78,1
-55.17,-15.55,2012,7,31,213,2012-07-31,20.55,29.22,14.29,14.93,55.3,0,10.53,1
-55.17,-15.55,2012,8,1,214,2012-08-01,20.29,29.18,13.59,15.59,55.64,0,10.51,1
-55.17,-15.55,2012,8,2,215,2012-08-02,21.23,29.3,15.22,14.08,54.67,0,11,1
-55.17,-15.55,2012,8,3,216,2012-08-03,21.21,29.42,15.09,14.33,56.23,0,11.6,1
-55.17,-15.55,2012,8,4,217,2012-08-04,21.13,29.62,14.49,15.13,56.03,0,11.26,1
-55.17,-15.55,2012,8,5,218,2012-08-05,21.8,29.5,15.15,14.35,57,0,12.23,1
-55.17,-15.55,2012,8,6,219,2012-08-06,21.97,29.78,15.44,14.34,55.64,0,11.96,1
-55.17,-15.55,2012,8,7,220,2012-08-07,22.79,31.18,15.12,16.06,54.04,0,12.13,1
-55.17,-15.55,2012,8,8,221,2012-08-08,22.61,31.8,15.36,16.44,54.81,0,12.01,1
-55.17,-15.55,2012,8,9,222,2012-08-09,22.95,30.99,16.85,14.14,56.73,0,13.25,1
-55.17,-15.55,2012,8,10,223,2012-08-10,22.19,30.76,16.26,14.5,53.07,0,11.16,1
-55.17,-15.55,2012,8,11,224,2012-08-11,21.83,30.72,14.73,15.99,51.01,0,10.33,1
-55.17,-15.55,2012,8,12,225,2012-08-12,22.14,30.67,15.83,14.84,50.91,0,10.77,1
-55.17,-15.55,2012,8,13,226,2012-08-13,21.27,29.78,14.5,15.28,51.6,0,9.93,1
-55.17,-15.55,2012,8,14,227,2012-08-14,21.87,29.84,15.04,14.8,53.1,0,11.19,1
-55.17,-15.55,2012,8,15,228,2012-08-15,24.06,31.1,18.11,12.99,50.55,0,12.46,1
-55.17,-15.55,2012,8,16,229,2012-08-16,24.14,32.26,18.56,13.7,51.79,0,12.81,1
-55.17,-15.55,2012,8,17,230,2012-08-17,23.4,31.87,17.79,14.08,51.4,0,11.82,1
-55.17,-15.55,2012,8,18,231,2012-08-18,23.45,31.94,16.71,15.23,48.92,0,11.22,1
-55.17,-15.55,2012,8,19,232,2012-08-19,23.73,31.29,17.82,13.47,48.79,0,11.54,1
-55.17,-15.55,2012,8,20,233,2012-08-20,23.2,30.82,16.06,14.76,50.09,0,11.4,1
-55.17,-15.55,2012,8,21,234,2012-08-21,23.15,30.93,17.12,13.81,49.44,0,11.01,1
-55.17,-15.55,2012,8,22,235,2012-08-22,22.55,30.8,15.58,15.22,50.29,0,10.69,1
-55.17,-15.55,2012,8,23,236,2012-08-23,23.29,31.5,16.6,14.9,47.55,0.06,10.42,1
-55.17,-15.55,2012,8,24,237,2012-08-24,23.74,31.23,17.84,13.39,50.79,0.04,12.15,1
-55.17,-15.55,2012,8,25,238,2012-08-25,23.21,31.26,16.55,14.71,53.81,0,12.35,1
-55.17,-15.55,2012,8,26,239,2012-08-26,22.28,29.66,17,12.66,55.28,0,12.33,1
-55.17,-15.55,2012,8,27,240,2012-08-27,21.04,28.26,15.94,12.32,55.56,0,11.36,1
-55.17,-15.55,2012,8,28,241,2012-08-28,20.34,28.39,14.06,14.33,57.68,0,11.12,1
-55.17,-15.55,2012,8,29,242,2012-08-29,22.21,31.11,13.96,17.15,54.67,0,11.58,1
-55.17,-15.55,2012,8,30,243,2012-08-30,23.67,32.34,16.4,15.94,48.05,0,10.83,1
-55.17,-15.55,2012,8,31,244,2012-08-31,24.61,34.04,16.86,17.18,45.46,0,10.71,1
-55.17,-15.55,2012,9,1,245,2012-09-01,25.24,34.38,17.73,16.65,42.66,0,10.27,1
-55.17,-15.55,2012,9,2,246,2012-09-02,26.25,35.48,18.83,16.65,41.08,0,10.59,1
-55.17,-15.55,2012,9,3,247,2012-09-03,26.6,35.74,19.93,15.81,39.2,0,10.3,1
-55.17,-15.55,2012,9,4,248,2012-09-04,26.41,36.06,18.88,17.18,38.45,0,9.55,1
-55.17,-15.55,2012,9,5,249,2012-09-05,25.45,35.23,17.69,17.54,37.09,0,8.33,1
-55.17,-15.55,2012,9,6,250,2012-09-06,25.59,35.16,17.66,17.5,37.83,0,8.63,1
-55.17,-15.55,2012,9,7,251,2012-09-07,25.74,34.93,18.52,16.41,38.61,0,9.22,1
-55.17,-15.55,2012,9,8,252,2012-09-08,25.52,34.97,17.96,17.01,38.73,0,9.14,1
-55.17,-15.55,2012,9,9,253,2012-09-09,25.86,35.24,17.88,17.36,38.75,0,8.89,1
-55.17,-15.55,2012,9,10,254,2012-09-10,27.55,35.76,18.39,17.37,36.35,0,9.86,1
-55.17,-15.55,2012,9,11,255,2012-09-11,28.51,36.9,22.19,14.71,35.57,0,10.39,1
-55.17,-15.55,2012,9,12,256,2012-09-12,27.89,36.25,19.81,16.44,39.5,0,11.34,1
-55.17,-15.55,2012,9,13,257,2012-09-13,28.68,37.6,21.34,16.26,41.01,0,12.7,1
-55.17,-15.55,2012,9,14,258,2012-09-14,29.61,37.17,22.19,14.98,41.37,0,14,1
-55.17,-15.55,2012,9,15,259,2012-09-15,29.59,37.2,23.91,13.29,49.89,1.13,16.83,1
-55.17,-15.55,2012,9,16,260,2012-09-16,29.14,37.78,22.02,15.76,39.12,0.28,12.31,1
-55.17,-15.55,2012,9,17,261,2012-09-17,28.49,35.79,22.91,12.88,44.26,2.03,14.22,1
-55.17,-15.55,2012,9,18,262,2012-09-18,27.38,34.49,21.75,12.74,49.92,0.29,15.1,1
-55.17,-15.55,2012,9,19,263,2012-09-19,27.49,33.7,22.3,11.4,54.89,1.17,17.06,1
-55.17,-15.55,2012,9,20,264,2012-09-20,24.11,30.24,18.58,11.66,69.59,0.77,17.71,1
-55.17,-15.55,2012,9,21,265,2012-09-21,25.63,32.51,20.46,12.05,69.65,0.77,18.91,1
-55.17,-15.55,2012,9,22,266,2012-09-22,25.33,33.06,18.7,14.36,63.81,0,17.13,1
-55.17,-15.55,2012,9,23,267,2012-09-23,26.7,34.1,20.24,13.86,63.17,3.71,18.14,1
-55.17,-15.55,2012,9,24,268,2012-09-24,25.76,31.99,21.59,10.4,65.82,7.51,18.47,1
-55.17,-15.55,2012,9,25,269,2012-09-25,23.3,26.94,20.74,6.2,78.83,8.14,19.34,1
-55.17,-15.55,2012,9,26,270,2012-09-26,22.54,29.13,15.82,13.31,65.06,1.97,14.92,1
-55.17,-15.55,2012,9,27,271,2012-09-27,21.53,30.53,12.99,17.54,52.29,0,10.73,1
-55.17,-15.55,2012,9,28,272,2012-09-28,25.09,34.02,16.63,17.39,50.1,0,12.84,1
-55.17,-15.55,2012,9,29,273,2012-09-29,26.52,34.28,19.81,14.47,53.64,0.19,15.56,1
-55.17,-15.55,2012,9,30,274,2012-09-30,25.56,30.67,21.05,9.62,63.37,1.14,17.7,1
-55.17,-15.55,2012,10,1,275,2012-10-01,26.82,33.46,20.75,12.71,62.45,0.17,18.27,1
-55.17,-15.55,2012,10,2,276,2012-10-02,25.64,31.15,20.76,10.39,69.38,15.02,19.23,1
-55.17,-15.55,2012,10,3,277,2012-10-03,27.38,34.08,21.81,12.27,60.43,0.14,18.25,1
-55.17,-15.55,2012,10,4,278,2012-10-04,26.57,32.58,21.43,11.15,63.25,0.11,18.37,1
-55.17,-15.55,2012,10,5,279,2012-10-05,27.49,33.73,21.29,12.44,58.58,7.97,17.85,1
-55.17,-15.55,2012,10,6,280,2012-10-06,26.75,33.59,21.47,12.12,61.83,2.72,18.1,1
-55.17,-15.55,2012,10,7,281,2012-10-07,27.03,35.01,20.34,14.67,53.35,0.1,15.81,1
-55.17,-15.55,2012,10,8,282,2012-10-08,27.99,34.36,21.13,13.23,52.28,0.8,16.62,1
-55.17,-15.55,2012,10,9,283,2012-10-09,26.99,32.29,22.39,9.9,63.59,6.49,19.07,1
-55.17,-15.55,2012,10,10,284,2012-10-10,26.54,31.4,21.75,9.65,68.69,8.77,19.9,1
-55.17,-15.55,2012,10,11,285,2012-10-11,24.65,30.07,19.98,10.09,75.68,4.46,19.7,1
-55.17,-15.55,2012,10,12,286,2012-10-12,25.27,31.4,19.54,11.86,71.59,0.12,19.32,1
-55.17,-15.55,2012,10,13,287,2012-10-13,26.83,33.06,20.88,12.18,67.6,0.11,19.6,1
-55.17,-15.55,2012,10,14,288,2012-10-14,27.64,34.64,21.17,13.47,62.36,0.22,18.99,1
-55.17,-15.55,2012,10,15,289,2012-10-15,27.33,33.53,21.5,12.03,68.21,2.36,20.24,1
-55.17,-15.55,2012,10,16,290,2012-10-16,26.15,31.2,22.13,9.07,74,11.14,20.86,1
-55.17,-15.55,2012,10,17,291,2012-10-17,26,31.48,20.75,10.73,71.07,0.01,19.89,1
-55.17,-15.55,2012,10,18,292,2012-10-18,27.14,33.83,21.25,12.58,63.92,0,19,1
-55.17,-15.55,2012,10,19,293,2012-10-19,26.64,33.15,20.58,12.57,64.97,0,18.85,1
-55.17,-15.55,2012,10,20,294,2012-10-20,26.37,31.9,21.78,10.12,68.25,1.37,19.52,1
-55.17,-15.55,2012,10,21,295,2012-10-21,27.04,33.72,21.44,12.28,61.63,0.03,18.23,1
-55.17,-15.55,2012,10,22,296,2012-10-22,26.46,31.62,21.61,10.01,65.72,0.16,19.15,1
-55.17,-15.55,2012,10,23,297,2012-10-23,26.98,33.51,21.32,12.19,62.81,3.33,18.28,1
-55.17,-15.55,2012,10,24,298,2012-10-24,25.97,31.43,21.44,9.99,73.74,9.05,20.4,1
-55.17,-15.55,2012,10,25,299,2012-10-25,27.46,33.94,21.56,12.38,65.29,2.07,19.51,1
-55.17,-15.55,2012,10,26,300,2012-10-26,26.69,31.3,22.34,8.96,69.04,0.6,20.15,1
-55.17,-15.55,2012,10,27,301,2012-10-27,27,33.32,21.49,11.83,66.66,0.33,19.44,1
-55.17,-15.55,2012,10,28,302,2012-10-28,28.25,35.62,22.16,13.46,58.25,3.64,18.24,1
-55.17,-15.55,2012,10,29,303,2012-10-29,29.17,36.92,22.79,14.13,51.39,0.08,16.92,1
-55.17,-15.55,2012,10,30,304,2012-10-30,29.27,36.81,22.07,14.74,52.46,0.02,17.45,1
-55.17,-15.55,2012,10,31,305,2012-10-31,28.6,35.88,23.07,12.81,59.01,0.03,18.85,1
-55.17,-15.55,2012,11,1,306,2012-11-01,27.4,33.94,22.17,11.77,64.51,7.57,19.34,1
-55.17,-15.55,2012,11,2,307,2012-11-02,25.9,31.43,21.93,9.5,69.67,3.36,19.52,1
-55.17,-15.55,2012,11,3,308,2012-11-03,24.72,28.19,22.06,6.13,80.2,38.74,20.95,1
-55.17,-15.55,2012,11,4,309,2012-11-04,25.28,30.1,21.19,8.91,77.33,13.9,20.7,1
-55.17,-15.55,2012,11,5,310,2012-11-05,24.39,27.84,21.32,6.52,82.7,11.34,21.09,1
-55.17,-15.55,2012,11,6,311,2012-11-06,23.51,26.59,20.86,5.73,83.88,3.69,20.53,1
-55.17,-15.55,2012,11,7,312,2012-11-07,23.66,27.99,20.45,7.54,82.95,3.31,20.36,1
-55.17,-15.55,2012,11,8,313,2012-11-08,23.76,27.73,20.87,6.86,82.22,1.4,20.36,1
-55.17,-15.55,2012,11,9,314,2012-11-09,25.26,30.19,21.11,9.08,79.52,1.51,21.12,1
-55.17,-15.55,2012,11,10,315,2012-11-10,26.04,30.13,21.6,8.53,76.45,6.27,21.3,1
-55.17,-15.55,2012,11,11,316,2012-11-11,25.7,30.43,21.26,9.17,79.98,16.36,21.74,1
-55.17,-15.55,2012,11,12,317,2012-11-12,25.21,29.29,21.76,7.53,83.4,11.68,22.02,1
-55.17,-15.55,2012,11,13,318,2012-11-13,24.84,28.92,21.81,7.11,84.72,6.82,21.96,1
-55.17,-15.55,2012,11,14,319,2012-11-14,23.65,26.06,21.5,4.56,89.8,16.79,21.86,1
-55.17,-15.55,2012,11,15,320,2012-11-15,24.77,29.4,20.74,8.66,81.57,0.54,21.16,1
-55.17,-15.55,2012,11,16,321,2012-11-16,24.99,29.56,20.87,8.69,82.43,3.7,21.54,1
-55.17,-15.55,2012,11,17,322,2012-11-17,25.11,29.17,21.11,8.06,81.11,1.58,21.4,1
-55.17,-15.55,2012,11,18,323,2012-11-18,24.58,28.5,20.88,7.62,84.09,1.84,21.56,1
-55.17,-15.55,2012,11,19,324,2012-11-19,24.57,28.77,21.08,7.69,83.01,12.25,21.25,1
-55.17,-15.55,2012,11,20,325,2012-11-20,24.17,28.52,20.01,8.51,80.15,22.52,20.3,1
-55.17,-15.55,2012,11,21,326,2012-11-21,24.51,29.44,19.67,9.77,80.06,7.27,20.58,1
-55.17,-15.55,2012,11,22,327,2012-11-22,24.15,28.27,20.68,7.59,84.69,7.45,21.25,1
-55.17,-15.55,2012,11,23,328,2012-11-23,23.56,27.42,20.89,6.53,88.72,20,21.5,1
-55.17,-15.55,2012,11,24,329,2012-11-24,22.74,25.57,20.43,5.14,90.63,14.94,21.09,1
-55.17,-15.55,2012,11,25,330,2012-11-25,23.82,28.42,19.57,8.85,84.58,3.48,20.88,1
-55.17,-15.55,2012,11,26,331,2012-11-26,24.83,28.96,20.77,8.19,82.49,15.65,21.47,1
-55.17,-15.55,2012,11,27,332,2012-11-27,25.16,29.54,21.48,8.06,84.39,3.33,22.18,1
-55.17,-15.55,2012,11,28,333,2012-11-28,24.89,28.03,22.53,5.5,86.8,5.02,22.48,1
-55.17,-15.55,2012,11,29,334,2012-11-29,25.1,28.53,21.41,7.12,83.37,0.41,21.97,1
-55.17,-15.55,2012,11,30,335,2012-11-30,24.4,27.9,21.02,6.88,84.82,23.49,21.61,1
-55.17,-15.55,2012,12,1,336,2012-12-01,24.24,29.07,20.59,8.48,83.16,2.83,20.94,1
-55.17,-15.55,2012,12,2,337,2012-12-02,23.72,27.69,19.8,7.89,85.27,7.7,20.93,1
-55.17,-15.55,2012,12,3,338,2012-12-03,23.79,28.17,20.65,7.52,83.01,0.43,20.52,1
-55.17,-15.55,2012,12,4,339,2012-12-04,23.88,28.37,20.72,7.65,82.27,0.04,20.45,1
-55.17,-15.55,2012,12,5,340,2012-12-05,23.78,28.35,19.96,8.39,80.44,0.7,19.94,1
-55.17,-15.55,2012,12,6,341,2012-12-06,24.01,29.03,19.7,9.33,79.51,0.15,19.94,1
-55.17,-15.55,2012,12,7,342,2012-12-07,24.13,28.98,20.29,8.69,82.18,1.13,20.69,1
-55.17,-15.55,2012,12,8,343,2012-12-08,25.48,30.18,21.06,9.12,82.43,12.69,22.08,1
-55.17,-15.55,2012,12,9,344,2012-12-09,25.54,29.84,22.06,7.78,81.49,2.06,21.9,1
-55.17,-15.55,2012,12,10,345,2012-12-10,24.83,28.34,21.37,6.97,83.91,2.11,21.78,1
-55.17,-15.55,2012,12,11,346,2012-12-11,23.77,26.51,21.16,5.35,84.41,0.55,20.9,1
-55.17,-15.55,2012,12,12,347,2012-12-12,23.89,27.55,20.36,7.19,84.51,7.36,21.02,1
-55.17,-15.55,2012,12,13,348,2012-12-13,23.27,26.59,21,5.59,91.67,34.98,21.79,1
-55.17,-15.55,2012,12,14,349,2012-12-14,22.92,26.23,20.53,5.7,88.09,5.65,20.75,1
-55.17,-15.55,2012,12,15,350,2012-12-15,23.1,26.42,20.53,5.89,90.11,27.17,21.33,1
-55.17,-15.55,2012,12,16,351,2012-12-16,23.52,27.71,20.54,7.17,85.69,8.59,20.82,1
-55.17,-15.55,2012,12,17,352,2012-12-17,23.99,28.21,20.88,7.33,82.04,0.69,20.48,1
-55.17,-15.55,2012,12,18,353,2012-12-18,24.13,28.51,20.22,8.29,81.79,0.56,20.64,1
-55.17,-15.55,2012,12,19,354,2012-12-19,25.14,29.84,20.98,8.86,78.7,1.51,20.89,1
-55.17,-15.55,2012,12,20,355,2012-12-20,25.19,30.05,20.86,9.19,78.71,0.07,20.99,1
-55.17,-15.55,2012,12,21,356,2012-12-21,26.18,31.15,20.37,10.78,71.93,1.55,20.42,1
-55.17,-15.55,2012,12,22,357,2012-12-22,25.51,29.39,22.23,7.16,78.19,10.59,21.3,1
-55.17,-15.55,2012,12,23,358,2012-12-23,25.07,29.62,20.99,8.63,81.65,0.51,21.48,1
-55.17,-15.55,2012,12,24,359,2012-12-24,24.75,29.04,21.18,7.86,80.88,0,21.05,1
-55.17,-15.55,2012,12,25,360,2012-12-25,24.2,28.77,19.87,8.9,80.47,7.54,20.4,1
-55.17,-15.55,2012,12,26,361,2012-12-26,24.4,29.2,20.03,9.17,77.38,2.63,19.93,1
-55.17,-15.55,2012,12,27,362,2012-12-27,24.18,29.07,19.82,9.25,79.55,2.66,20.13,1
-55.17,-15.55,2012,12,28,363,2012-12-28,22.95,25.85,20.81,5.04,81.26,12.73,19.41,1
-55.17,-15.55,2012,12,29,364,2012-12-29,24.01,28.59,19.31,9.28,79.42,23.5,20.01,1
-55.17,-15.55,2012,12,30,365,2012-12-30,24.61,29.19,20.21,8.98,80.25,2.1,20.74,1
-55.17,-15.55,2012,12,31,366,2012-12-31,25.4,29.48,20.72,8.76,76.5,2.18,20.75,1
-55.17,-15.55,2013,1,1,1,2013-01-01,25.02,29.27,21.61,7.66,79.62,10.59,21.05,1
-55.17,-15.55,2013,1,2,2,2013-01-02,24.26,28.09,21.17,6.92,82.89,0.26,20.96,1
-55.17,-15.55,2013,1,3,3,2013-01-03,25,30.59,19.24,11.35,78.22,4.86,20.6,1
-55.17,-15.55,2013,1,4,4,2013-01-04,25.15,29.51,21.29,8.22,79.57,3.43,21.2,1
-55.17,-15.55,2013,1,5,5,2013-01-05,24.67,29.42,20.35,9.07,80.3,5.54,20.77,1
-55.17,-15.55,2013,1,6,6,2013-01-06,24.55,29.58,19.83,9.75,82.13,2.75,21.06,1
-55.17,-15.55,2013,1,7,7,2013-01-07,24.85,29.2,20.93,8.27,81.52,1.75,21.27,1
-55.17,-15.55,2013,1,8,8,2013-01-08,25.52,29.72,20.57,9.15,76.81,3.55,20.94,1
-55.17,-15.55,2013,1,9,9,2013-01-09,24.68,28.74,21.34,7.4,85.93,14.52,22.05,1
-55.17,-15.55,2013,1,10,10,2013-01-10,24.36,28.03,21.31,6.72,85.94,9.45,21.75,1
-55.17,-15.55,2013,1,11,11,2013-01-11,24.6,28.92,21.14,7.78,85.08,17.13,21.76,1
-55.17,-15.55,2013,1,12,12,2013-01-12,22.97,25.74,21.13,4.61,91.13,33.18,21.42,1
-55.17,-15.55,2013,1,13,13,2013-01-13,22.51,24.99,20.83,4.16,91.83,8.85,21.1,1
-55.17,-15.55,2013,1,14,14,2013-01-14,23.29,27.92,20.24,7.68,86.43,8.12,20.74,1
-55.17,-15.55,2013,1,15,15,2013-01-15,23.36,27.55,20.32,7.23,85.34,5.44,20.58,1
-55.17,-15.55,2013,1,16,16,2013-01-16,23.62,27.46,20.43,7.03,84.54,1.49,20.68,1
-57.5,-14.18,2012,8,11,224,2012-08-11,24.65,31.73,18.99,12.74,45.73,0,11.39,2
-57.5,-14.18,2012,8,12,225,2012-08-12,24.78,31.45,17.51,13.94,49.77,0.03,13.05,2
-57.5,-14.18,2012,8,13,226,2012-08-13,23.79,31.59,18.25,13.34,51.89,0,12.36,2
-57.5,-14.18,2012,8,14,227,2012-08-14,22.66,28.76,16.35,12.41,53.25,0,12.08,2
-57.5,-14.18,2012,8,15,228,2012-08-15,24.72,31.68,18.75,12.93,53.19,0,13.97,2
-57.5,-14.18,2012,8,16,229,2012-08-16,25.77,32.86,18.32,14.54,52.7,0,14.56,2
-57.5,-14.18,2012,8,17,230,2012-08-17,24.93,32.86,17.83,15.03,51.79,0,13.26,2
-57.5,-14.18,2012,8,18,231,2012-08-18,24.74,32.52,16.69,15.83,48.24,1.03,12.04,2
-57.5,-14.18,2012,8,19,232,2012-08-19,24.86,32.72,17.61,15.11,50.2,0,13,2
-57.5,-14.18,2012,8,20,233,2012-08-20,24.69,32.63,17.34,15.29,50.68,0,12.79,2
-57.5,-14.18,2012,8,21,234,2012-08-21,24.29,32.57,17.74,14.83,50.33,0,12.34,2
-57.5,-14.18,2012,8,22,235,2012-08-22,25.01,32.3,17.13,15.17,46.03,0,11.66,2
-57.5,-14.18,2012,8,23,236,2012-08-23,25.96,32.86,17.6,15.26,45.72,0,12.35,2
-57.5,-14.18,2012,8,24,237,2012-08-24,25.88,33.03,20.24,12.79,49.55,0,13.73,2
-57.5,-14.18,2012,8,25,238,2012-08-25,25.19,32.49,19.3,13.19,46.88,0,12.12,2
-57.5,-14.18,2012,8,26,239,2012-08-26,22.55,29.75,17.02,12.73,54.09,0,12.3,2
-57.5,-14.18,2012,8,27,240,2012-08-27,20.09,26.99,15.41,11.58,56.81,0,10.79,2
-57.5,-14.18,2012,8,28,241,2012-08-28,19.66,27.56,13.72,13.84,55.83,0,9.96,2
-57.5,-14.18,2012,8,29,242,2012-08-29,21.96,31.34,14.29,17.05,53.22,0,11.08,2
-57.5,-14.18,2012,8,30,243,2012-08-30,24.12,33.46,15.41,18.05,49.85,0,11.68,2
-57.5,-14.18,2012,8,31,244,2012-08-31,25.8,35.16,17.45,17.71,45.82,0,11.58,2
-57.5,-14.18,2012,9,1,245,2012-09-01,26.9,36.12,18.19,17.93,44.6,0,12.19,2
-57.5,-14.18,2012,9,2,246,2012-09-02,28.17,36.44,20.97,15.47,43.51,0.02,13.1,2
-57.5,-14.18,2012,9,3,247,2012-09-03,28.09,37.02,20.66,16.36,43.97,0.05,13.01,2
-57.5,-14.18,2012,9,4,248,2012-09-04,28.16,37.14,19.52,17.62,38.11,0,10.73,2
-57.5,-14.18,2012,9,5,249,2012-09-05,27.77,36.49,20,16.49,35.56,0.01,9.43,2
-57.5,-14.18,2012,9,6,250,2012-09-06,26.45,35.58,18.06,17.52,39.14,0,10.02,2
-57.5,-14.18,2012,9,7,251,2012-09-07,26.27,35.89,18,17.89,44.54,0,11.59,2
-57.5,-14.18,2012,9,8,252,2012-09-08,26.7,35.67,18.27,17.4,45.16,0,12.22,2
-57.5,-14.18,2012,9,9,253,2012-09-09,27.56,35.84,19.21,16.63,38.12,0,10.44,2
-57.5,-14.18,2012,9,10,254,2012-09-10,28.76,36.32,21.27,15.05,34.8,0,10.49,2
-57.5,-14.18,2012,9,11,255,2012-09-11,28.19,36.22,22.82,13.4,39.67,0,11.96,2
-57.5,-14.18,2012,9,12,256,2012-09-12,28.48,37.07,21.69,15.38,40.85,0,12.31,2
-57.5,-14.18,2012,9,13,257,2012-09-13,29.6,37.49,22.89,14.6,43.04,0,14.55,2
-57.5,-14.18,2012,9,14,258,2012-09-14,30.86,37.6,25.33,12.27,43.29,0.21,15.79,2
-57.5,-14.18,2012,9,15,259,2012-09-15,30.46,37.56,23.18,14.38,49.07,0,17.36,2
-57.5,-14.18,2012,9,16,260,2012-09-16,31.76,38.58,26.44,12.14,43.47,0,16.57,2
-57.5,-14.18,2012,9,17,261,2012-09-17,29.21,36.25,23.66,12.59,52.51,1.88,17.44,2
-57.5,-14.18,2012,9,18,262,2012-09-18,28.98,35.75,23.02,12.73,53.98,0.25,17.69,2
-57.5,-14.18,2012,9,19,263,2012-09-19,28.11,35.44,22.01,13.43,59.14,2.02,18.33,2
-57.5,-14.18,2012,9,20,264,2012-09-20,25.5,30.88,21.14,9.74,74.14,4.85,20.06,2
-57.5,-14.18,2012,9,21,265,2012-09-21,26.78,34.23,19.72,14.51,67.18,1.69,19.26,2
-57.5,-14.18,2012,9,22,266,2012-09-22,24.34,32.18,17.52,14.66,65.89,1.27,16.77,2
-57.5,-14.18,2012,9,23,267,2012-09-23,27.3,34.7,19.88,14.82,60.37,0.11,18.01,2
-57.5,-14.18,2012,9,24,268,2012-09-24,26.03,30.1,22.45,7.65,71.92,9.69,20.26,2
-57.5,-14.18,2012,9,25,269,2012-09-25,24.93,29.7,21.84,7.86,78.11,2.87,20.48,2
-57.5,-14.18,2012,9,26,270,2012-09-26,20.81,24.69,17.37,7.32,74.56,0.54,15.92,2
-57.5,-14.18,2012,9,27,271,2012-09-27,21.41,30.11,13.98,16.13,52.07,0,10.25,2
-57.5,-14.18,2012,9,28,272,2012-09-28,25.76,34.36,18,16.36,55,0,15.08,2
-57.5,-14.18,2012,9,29,273,2012-09-29,27.58,35.29,21.88,13.41,60.02,9.58,17.97,2
-57.5,-14.18,2012,9,30,274,2012-09-30,24.87,30.36,22.1,8.26,75.31,1.52,19.71,2
-57.5,-14.18,2012,10,1,275,2012-10-01,25.38,30.76,20.41,10.35,75.25,0.38,20.22,2
-57.5,-14.18,2012,10,2,276,2012-10-02,25.19,29.91,21.27,8.64,78.08,4.39,20.8,2
-57.5,-14.18,2012,10,3,277,2012-10-03,26.09,32.09,21.15,10.94,74.62,3.05,20.71,2
-57.5,-14.18,2012,10,4,278,2012-10-04,25.3,30.16,21.14,9.02,72.09,0.48,19.47,2
-57.5,-14.18,2012,10,5,279,2012-10-05,25,29.47,21.62,7.85,73.05,2.56,19.6,2
-57.5,-14.18,2012,10,6,280,2012-10-06,26.92,32.49,21.8,10.69,64.74,2.24,19.19,2
-57.5,-14.18,2012,10,7,281,2012-10-07,27.2,32.67,21.5,11.17,65.74,1.56,19.63,2
-57.5,-14.18,2012,10,8,282,2012-10-08,27.22,32.75,22.69,10.06,66.4,1.73,19.93,2
-57.5,-14.18,2012,10,9,283,2012-10-09,26.82,32.14,22.03,10.11,66.6,0.42,19.56,2
-57.5,-14.18,2012,10,10,284,2012-10-10,26.66,33.12,21.1,12.02,68.24,1.06,19.57,2
-57.5,-14.18,2012,10,11,285,2012-10-11,24.22,29.86,19.33,10.53,73.33,1.15,18.77,2
-57.5,-14.18,2012,10,12,286,2012-10-12,25.77,32.53,19.41,13.12,65.73,0.03,18.27,2
-57.5,-14.18,2012,10,13,287,2012-10-13,26.56,31.39,21.26,10.13,67.25,6.37,19.66,2
-57.5,-14.18,2012,10,14,288,2012-10-14,27.34,33.01,22.76,10.25,67.58,8.42,20.33,2
-57.5,-14.18,2012,10,15,289,2012-10-15,25.75,31.16,22.38,8.78,71.7,0.29,19.79,2
-57.5,-14.18,2012,10,16,290,2012-10-16,26.73,33.03,20.93,12.1,72,1.92,20.59,2
-57.5,-14.18,2012,10,17,291,2012-10-17,27,32.81,21.35,11.46,72.1,0.78,20.93,2
-57.5,-14.18,2012,10,18,292,2012-10-18,26.66,31.92,22.91,9.01,71.88,0.12,20.71,2
-57.5,-14.18,2012,10,19,293,2012-10-19,26.1,32.9,20.93,11.97,71.59,0,19.94,2
-57.5,-14.18,2012,10,20,294,2012-10-20,27.48,33.93,21.38,12.55,67.69,0.12,20.18,2
